PartieId;Seed;NumCoup;Joueur;Action;Detail;PhaseAvant;PhaseApres;TaillePileAvant;TaillePileApres
1;1035191123;167;Bot1;Joue;Seven♣;Travail;Travail;0;1
1;1035191123;168;Bot2;Joue;Seven♠;Travail;Travail;1;2
1;1035191123;169;Bot1;Joue;Nine♦;Travail;Travail;2;3
1;1035191123;171;Bot3;Joue;Four♥;Travail;Travail;0;1
1;1035191123;172;Bot1;Joue;Eight♥;Travail;Travail;1;2
1;1035191123;173;Bot2;Joue;Nine♦;Travail;Travail;2;3
1;1035191123;174;Bot3;Joue;Valet♦;Travail;Travail;3;4
1;1035191123;176;Bot1;Joue;Five♦;Travail;Travail;0;1
1;1035191123;177;Bot3;Joue;As♠;Travail;Travail;1;2
1;1035191123;179;Bot1;Joue;Eight♠;Travail;Travail;0;1
1;1035191123;180;Bot3;Joue;Valet♣;Travail;Travail;1;2
1;1035191123;182;Bot2;Joue;Nine♦;Travail;Travail;0;1
1;1035191123;183;Bot3;Joue;Valet♠;Travail;Travail;1;2
1;1035191123;184;Bot2;Joue;As♠;Travail;Travail;2;3
1;1035191123;186;Bot3;Joue;Dame♠;Travail;Travail;0;1
1;1035191123;188;Bot1;Joue;Valet♠;Travail;Travail;0;1
1;1035191123;189;Bot2;Joue;Dame♠;Travail;Travail;1;2
1;1035191123;190;Bot3;Joue;Joker(Glass);Travail;Travail;2;3
1;1035191123;191;Bot1;Joue;As♠;Travail;Travail;3;4
1;1035191123;193;Bot3;Joue;Prêtre♣;Travail;Travail;0;1
1;1035191123;194;Bot1;Joue;Nine♦;Travail;Travail;1;2
1;1035191123;195;Bot2;Joue;Dame♠;Travail;Travail;2;3
1;1035191123;196;Bot3;Joue;Dame♦;Travail;Travail;3;4
1;1035191123;197;Bot2;Joue;As♠;Travail;Travail;4;5
1;1035191123;199;Bot1;Joue;Valet♣;Travail;Travail;0;1
1;1035191123;200;Bot3;Joue;Dame♦;Travail;Travail;1;2
1;1035191123;201;Bot2;Joue;Joker(Glass);Travail;Travail;2;3
1;1035191123;203;Bot3;Joue;Prêtre♣;Travail;Travail;0;1
1;1035191123;204;Bot2;Joue;Four♥;Travail;Travail;1;2
1;1035191123;205;Bot1;Joue;Six♠;Travail;Travail;2;3
1;1035191123;206;Bot3;Joue;Seven♥;Travail;Travail;3;4
1;1035191123;207;Bot2;Joue;Seven♣;Travail;Travail;4;5
1;1035191123;208;Bot3;Joue;Dame♠;Travail;Travail;5;6
1;1035191123;210;Bot1;Joue;Three♦;Travail;Travail;0;1
1;1035191123;211;Bot3;Joue;Five♣;Travail;Travail;1;2
1;1035191123;212;Bot2;Joue;Seven♥;Travail;Travail;2;3
1;1035191123;213;Bot1;Joue;Valet♣;Travail;Travail;3;4
1;1035191123;214;Bot2;Joue;Valet♦;Travail;Travail;4;5
1;1035191123;215;Bot1;Joue;Joker(Glass);Travail;Travail;5;6
1;1035191123;216;Bot2;Joue;Dame♠;Travail;Travail;6;7
1;1035191123;217;Bot3;Joue;As♠;Travail;Travail;7;8
1;1035191123;219;Bot2;Joue;Prêtre♣;Travail;Travail;0;1
1;1035191123;220;Bot3;Joue;Nine♦;Travail;Travail;1;2
1;1035191123;221;Bot1;Joue;Ten♠;Travail;Travail;2;3
1;1035191123;222;Bot2;Joue;Valet♠;Travail;Travail;3;4
1;1035191123;223;Bot1;Joue;Joker(Glass);Travail;Travail;4;5
1;1035191123;225;Bot2;Joue;Seven♠;Travail;Travail;0;1
1;1035191123;226;Bot1;Joue;As♠;Travail;Travail;1;2
1;1035191123;227;Bot3;Joue;Joker(Glass);Travail;Travail;2;3
1;1035191123;229;Bot1;Joue;Dame♠;Travail;Travail;0;1
1;1035191123;231;Bot2;Joue;Seven♣;Travail;Travail;0;1
1;1035191123;232;Bot1;Joue;Eight♠;Travail;Travail;1;2
1;1035191123;233;Bot3;Joue;Dame♠;Travail;Travail;2;3
1;1035191123;234;Bot2;Joue;Joker(Glass);Travail;Travail;3;4
1;1035191123;235;Bot1;Joue;Dame♦;Travail;Travail;4;5
1;1035191123;236;Bot2;Joue;As♠;Travail;Travail;5;6
1;1035191123;238;Bot3;Joue;Prêtre♣;Travail;Travail;0;1
1;1035191123;239;Bot2;Joue;Four♥;Travail;Travail;1;2
1;1035191123;240;Bot1;Joue;Five♣;Travail;Travail;2;3
1;1035191123;241;Bot3;Joue;Ten♠;Travail;Travail;3;4
1;1035191123;243;Bot1;Joue;Six♣;Travail;Travail;0;1
1;1035191123;244;Bot3;Joue;Nine♦;Travail;Travail;1;2
1;1035191123;245;Bot2;Joue;Prêtre♣;Travail;Travail;2;3
1;1035191123;246;Bot1;Joue;Eight♠;Travail;Travail;3;4
1;1035191123;247;Bot3;Joue;Valet♠;Travail;Travail;4;5
1;1035191123;248;Bot1;Joue;Valet♣;Travail;Travail;5;6
1;1035191123;250;Bot1;Joue;Three♦;Travail;Travail;0;1
1;1035191123;251;Bot2;Joue;Six♠;Travail;Travail;1;2
1;1035191123;252;Bot3;Joue;Six♣;Travail;Travail;2;3
1;1035191123;253;Bot2;Joue;Seven♠;Travail;Travail;3;4
1;1035191123;254;Bot3;Joue;Ten♣;Travail;Travail;4;5
1;1035191123;255;Bot1;Joue;Joker(Glass);Travail;Travail;5;6
1;1035191123;256;Bot2;Joue;Ten♠;Travail;Travail;6;7
1;1035191123;257;Bot1;Joue;Dame♦;Travail;Travail;7;8
1;1035191123;259;Bot3;Joue;Eight♠;Travail;Travail;0;1
1;1035191123;260;Bot1;Joue;Dame♠;Travail;Travail;1;2
1;1035191123;261;Bot2;Joue;Dame♦;Travail;Travail;2;3
1;1035191123;262;Bot1;Joue;As♠;Travail;Travail;3;4
1;1035191123;263;Bot2;Joue;Joker(Glass);Travail;Travail;4;5
1;1035191123;265;Bot1;Joue;Seven♣;Travail;Travail;0;1
1;1035191123;266;Bot2;Joue;Ten♣;Travail;Travail;1;2
1;1035191123;267;Bot3;Joue;Dame♦;Travail;Travail;2;3
1;1035191123;269;Bot2;Joue;Ten♠;Travail;Travail;0;1
1;1035191123;270;Bot3;Joue;Dame♠;Travail;Travail;1;2
1;1035191123;271;Bot1;Joue;Dame♦;Travail;Travail;2;3
1;1035191123;272;Bot3;Joue;As♠;Travail;Travail;3;4
1;1035191123;274;Bot2;Joue;Seven♠;Travail;Travail;0;1
1;1035191123;275;Bot3;Joue;Joker(Glass);Travail;Travail;1;2
1;1035191123;276;Bot1;Joue;Seven♣;Travail;Travail;2;3
1;1035191123;277;Bot3;Joue;Prêtre♣;Travail;Travail;3;4
1;1035191123;278;Bot1;Joue;Ten♠;Travail;Travail;4;5
1;1035191123;280;Bot3;Joue;Nine♦;Travail;Travail;0;1
1;1035191123;281;Bot1;Joue;Dame♦;Travail;Travail;1;2
1;1035191123;282;Bot2;Joue;Joker(Glass);Travail;Travail;2;3
1;1035191123;284;Bot1;Joue;Ten♣;Travail;Travail;0;1
1;1035191123;285;Bot2;Joue;Ten♠;Travail;Travail;1;2
1;1035191123;286;Bot1;Joue;Dame♠;Travail;Travail;2;3
1;1035191123;288;Bot3;Joue;Valet♣;Travail;Travail;0;1
1;1035191123;289;Bot2;Joue;Dame♠;Travail;Travail;1;2
1;1035191123;290;Bot1;Joue;As♠;Travail;Travail;2;3
1;1035191123;291;Bot3;Joue;Joker(Glass);Travail;Travail;3;4
1;1035191123;293;Bot1;Joue;Seven♥;Travail;Travail;0;1
1;1035191123;294;Bot3;Joue;Valet♠;Travail;Travail;1;2
1;1035191123;295;Bot1;Joue;Valet♦;Travail;Travail;2;3
1;1035191123;296;Bot3;Joue;Dame♦;Travail;Travail;3;4
1;1035191123;297;Bot1;Joue;Roi♣;Travail;Travail;4;5
1;1035191123;298;Bot2;Joue;As♠;Travail;Travail;5;6
1;1035191123;300;Bot1;Joue;Valet♥;Travail;Travail;0;1
1;1035191123;301;Bot3;Joue;Dame♦;Travail;Travail;1;2
1;1035191123;302;Bot2;Joue;Dame♠;Travail;Travail;2;3
1;1035191123;303;Bot3;Joue;As♠;Travail;Travail;3;4
1;1035191123;304;Bot2;Joue;Joker(Glass);Travail;Travail;4;5
1;1035191123;306;Bot3;Joue;Eight♠;Travail;Travail;0;1
1;1035191123;307;Bot2;Joue;Prêtre♣;Travail;Travail;1;2
1;1035191123;308;Bot1;Joue;Joker(Glass);Travail;Travail;2;3
1;1035191123;309;Bot3;Joue;Seven♥;Travail;Travail;3;4
1;1035191123;310;Bot2;Joue;Ten♠;Travail;Travail;4;5
1;1035191123;311;Bot1;Joue;Dame♠;Travail;Travail;5;6
1;1035191123;312;Bot3;Joue;Roi♣;Travail;Travail;6;7
1;1035191123;314;Bot1;Joue;Roi♠;Travail;Travail;0;1
1;1035191123;316;Bot2;Joue;Five♦;Travail;Travail;0;1
1;1035191123;317;Bot1;Joue;Dame♦;Travail;Travail;1;2
1;1035191123;318;Bot3;Joue;Roi♠;Travail;Travail;2;3
1;1035191123;319;Bot2;Joue;Joker(Glass);Travail;Travail;3;4
1;1035191123;320;Bot1;Joue;As♠;Travail;Travail;4;5
1;1035191123;322;Bot2;Joue;Seven♠;Travail;Travail;0;1
1;1035191123;323;Bot1;Joue;Valet♥;Travail;Travail;1;2
1;1035191123;324;Bot2;Joue;Dame♠;Travail;Travail;2;3
1;1035191123;325;Bot3;Joue;As♠;Travail;Travail;3;4
1;1035191123;326;Bot1;Joue;Seven♠;Travail;Travail;0;1
1;1035191123;327;Bot3;Joue;Joker(Glass);Travail;Travail;1;2
1;1035191123;328;Bot1;Joue;As♠;Travail;Travail;2;3
1;1035191123;330;Bot3;Joue;Valet♦;Travail;Travail;0;1
1;1035191123;331;Bot2;Joue;Roi♣;Travail;Travail;1;2
1;1035191123;333;Bot3;Joue;Valet♠;Travail;Travail;0;1
1;1035191123;334;Bot1;Joue;Roi♣;Travail;Travail;1;2
1;1035191123;335;Bot2;Joue;Joker(Glass);Travail;Travail;2;3
1;1035191123;336;Bot3;Joue;Roi♠;Travail;Travail;3;4
1;1035191123;337;Bot2;Joue;As♠;Travail;Travail;4;5
1;1035191123;339;Bot1;Joue;Valet♦;Travail;Travail;0;1
1;1035191123;340;Bot3;Joue;Roi♣;Travail;Travail;1;2
1;1035191123;342;Bot1;Joue;Ten♥;Travail;Travail;0;1
1;1035191123;343;Bot3;Joue;Joker(Glass);Travail;Travail;1;2
1;1035191123;344;Bot2;Joue;Ten♠;Travail;Travail;2;3
1;1035191123;345;Bot3;Joue;As♠;Travail;Travail;3;4
1;1035191123;347;Bot1;Joue;Valet♥;Travail;Travail;0;1
1;1035191123;348;Bot2;Joue;Joker(Glass);Travail;Travail;1;2
1;1035191123;349;Bot3;Joue;Valet♠;Travail;Travail;2;3
1;1035191123;350;Bot2;Joue;Roi♣;Travail;Travail;3;4
1;1035191123;351;Bot3;Joue;Roi♠;Travail;Travail;4;5
1;1035191123;352;Bot2;Joue;As♠;Travail;Travail;5;6
1;1035191123;354;Bot1;Joue;Dame♠;Travail;Travail;0;1
1;1035191123;356;Bot3;Joue;Five♦;Travail;Travail;0;1
1;1035191123;358;Bot3;Joue;Nine♦;Travail;Travail;0;1
1;1035191123;359;Bot1;Joue;As♥;Travail;Travail;1;2
1;1035191123;361;Bot3;Joue;Valet♥;Travail;Travail;0;1
1;1035191123;362;Bot2;Joue;Dame♠;Travail;Travail;1;2
1;1035191123;364;Bot3;Joue;Joker(Glass);Travail;Travail;0;1
1;1035191123;365;Bot2;Joue;Eight♥;Travail;Travail;1;2
1;1035191123;366;Bot1;Joue;Dame♠;Travail;Travail;2;3
1;1035191123;367;Bot3;Joue;Roi♠;Travail;Travail;3;4
1;1035191123;368;Bot2;Joue;As♥;Travail;Travail;4;5
1;1035191123;370;Bot3;Joue;Valet♠;Travail;Travail;0;1
1;1035191123;371;Bot1;Joue;As♥;Travail;Travail;1;2
1;1035191123;373;Bot3;Joue;Dame♦;Travail;Travail;0;1
1;1035191123;374;Bot1;Joue;Joker(Glass);Travail;Travail;1;2
1;1035191123;375;Bot2;Joue;As♥;Travail;Travail;2;3
1;1035191123;376;Bot3;Joue;As♠;Travail;Travail;3;4
1;1035191123;378;Bot3;Joue;Roi♣;Travail;Travail;0;1
1;1035191123;379;Bot1;Joue;Roi♠;Travail;Travail;1;2
1;1035191123;380;Bot3;Joue;Roi♠;Travail;Travail;0;1
1;1035191123;381;Bot2;Joue;As♥;Travail;Travail;1;2
1;1035191123;383;Bot1;Joue;Eight♥;Travail;Travail;0;1
1;1035191123;384;Bot2;Joue;Ten♠;Travail;Travail;1;2
1;1035191123;385;Bot3;Joue;Roi♣;Travail;Travail;2;3
1;1035191123;387;Bot2;Joue;Dame♦;Travail;Travail;0;1
1;1035191123;388;Bot3;Joue;As♥;Travail;Travail;1;2
1;1035191123;390;Bot2;Joue;Joker(Glass);Travail;Travail;0;1
1;1035191123;391;Bot3;Joue;Nine♥;Travail;Travail;1;2
1;1035191123;392;Bot1;Joue;Valet♥;Travail;Travail;2;3
1;1035191123;393;Bot3;Joue;Roi♠;Travail;Travail;3;4
1;1035191123;394;Bot2;Joue;As♠;Travail;Travail;4;5
1;1035191123;395;Bot1;Joue;As♥;Travail;Travail;5;6
1;1035191123;397;Bot1;Joue;Roi♣;Travail;Travail;0;1
1;1035191123;399;Bot1;Joue;Five♦;Travail;Travail;0;1
1;1035191123;400;Bot3;Joue;Roi♣;Travail;Travail;1;2
1;1035191123;401;Bot2;Joue;As♥;Travail;Travail;2;3
1;1035191123;403;Bot3;Joue;Joker(Black);Travail;Travail;0;1
1;1035191123;404;Bot2;Joue;Valet♣;Travail;Travail;1;2
1;1035191123;406;Bot2;Joue;Ten♥;Travail;Travail;0;1
1;1035191123;407;Bot3;Joue;Valet♣;Travail;Travail;1;2
1;1035191123;408;Bot2;Joue;Valet♦;Travail;Travail;2;3
1;1035191123;409;Bot3;Joue;As♣;Travail;Travail;3;4
1;1035191123;410;Bot2;Joue;Joker(Glass);Travail;Travail;4;5
1;1035191123;411;Bot1;Joue;As♥;Travail;Travail;5;6
1;1035191123;412;Bot2;Joue;As♠;Travail;Travail;6;7
1;1035191123;413;Bot3;Joue;Joker(Black);Travail;Travail;7;8
1;1035191123;414;Bot2;Joue;Three♠;Travail;Travail;8;9
1;1035191123;415;Bot1;Joue;Five♦;Travail;Travail;9;10
1;1035191123;417;Bot2;Joue;Six♣;Travail;Travail;0;1
1;1035191123;418;Bot1;Joue;Ten♠;Travail;Travail;1;2
1;1035191123;419;Bot2;Joue;Roi♠;Travail;Travail;2;3
1;1035191123;420;Bot1;Joue;Roi♣;Travail;Travail;3;4
1;1035191123;422;Bot1;Joue;Dame♠;Travail;Travail;0;1
1;1035191123;423;Bot2;Joue;Roi♣;Travail;Travail;1;2
1;1035191123;425;Bot2;Joue;Five♣;Travail;Travail;0;1
1;1035191123;426;Bot1;Joue;Eight♥;Travail;Travail;1;2
1;1035191123;427;Bot2;Joue;Valet♠;Travail;Travail;2;3
1;1035191123;428;Bot1;Joue;Roi♣;Travail;Travail;3;4
1;1035191123;429;Bot2;Joue;Roi♠;Travail;Travail;4;5
1;1035191123;431;Bot2;Joue;Seven♠;Travail;Travail;0;1
1;1035191123;432;Bot1;Joue;Valet♠;Travail;Travail;1;2
1;1035191123;433;Bot2;Joue;Valet♥;Travail;Travail;2;3
1;1035191123;434;Bot1;Joue;Roi♠;Travail;Travail;3;4
1;1035191123;436;Bot1;Joue;Roi♣;Travail;Travail;0;1
1;1035191123;437;Bot2;Joue;Roi♠;Travail;Travail;1;2
1;1035191123;439;Bot2;Joue;Six♣;Travail;Travail;0;1
1;1035191123;440;Bot1;Joue;Dame♦;Travail;Travail;1;2
1;1035191123;442;Bot1;Joue;Roi♠;Travail;Travail;0;1
1;1035191123;444;Bot1;Joue;Five♣;Travail;Travail;0;1
1;1035191123;445;Bot2;Joue;Six♠;Travail;Travail;1;2
1;1035191123;446;Bot1;Joue;Eight♥;Travail;Travail;2;3
1;1035191123;447;Bot2;Joue;Nine♦;Travail;Travail;3;4
1;1035191123;448;Bot1;Joue;Roi♣;Travail;Travail;4;5
1;1035191123;449;Bot2;Joue;Roi♠;Travail;Travail;5;6
1;1035191123;451;Bot2;Joue;Three♦;Travail;Travail;0;1
1;1035191123;452;Bot1;Joue;Five♣;Travail;Travail;1;2
1;1035191123;453;Bot2;Joue;Seven♣;Travail;Travail;2;3
1;1035191123;454;Bot1;Joue;Roi♠;Travail;Travail;3;4
1;1035191123;456;Bot1;Joue;Six♠;Travail;Travail;0;1
1;1035191123;457;Bot2;Joue;Eight♠;Travail;Travail;1;2
1;1035191123;458;Bot1;Joue;Roi♣;Travail;Travail;2;3
1;1035191123;459;Bot2;Joue;Roi♠;Travail;Travail;3;4
1;1035191123;461;Bot2;Joue;Five♣;Travail;Travail;0;1
1;1035191123;462;Bot1;Joue;Roi♣;Travail;Travail;1;2
1;1035191123;464;Bot1;Joue;Eight♠;Travail;Travail;0;1
1;1035191123;465;Bot2;Joue;Roi♣;Travail;Travail;1;2
1;1035191123;466;Bot1;Joue;Roi♠;Travail;Travail;2;3
1;1035191123;468;Bot1;Joue;Eight♥;Travail;Travail;0;1
1;1035191123;469;Bot2;Joue;Valet♠;Travail;Travail;1;2
1;1035191123;470;Bot1;Joue;Dame♠;Travail;Travail;2;3
1;1035191123;471;Bot2;Joue;Roi♠;Travail;Travail;3;4
1;1035191123;473;Bot2;Joue;Roi♣;Travail;Travail;0;1
1;1035191123;474;Bot1;Joue;Roi♠;Travail;Travail;1;2
1;1035191123;476;Bot1;Joue;Six♠;Travail;Travail;0;1
1;1035191123;477;Bot2;Joue;Seven♠;Travail;Travail;1;2
1;1035191123;478;Bot1;Joue;Valet♠;Travail;Travail;2;3
1;1035191123;479;Bot2;Joue;Dame♦;Travail;Travail;3;4
1;1035191123;480;Bot1;Joue;Dame♠;Travail;Travail;4;5
1;1035191123;481;Bot2;Joue;Roi♣;Travail;Travail;5;6
1;1035191123;483;Bot2;Joue;Valet♥;Travail;Travail;0;1
1;1035191123;484;Bot1;Joue;Valet♠;Travail;Travail;1;2
1;1035191123;485;Bot2;Joue;Roi♠;Travail;Travail;2;3
1;1035191123;486;Bot1;Joue;Roi♣;Travail;Travail;3;4
1;1035191123;488;Bot1;Joue;Dame♠;Travail;Travail;0;1
1;1035191123;489;Bot2;Joue;Roi♣;Travail;Travail;1;2
1;1035191123;491;Bot2;Joue;Eight♠;Travail;Travail;0;1
1;1035191123;492;Bot1;Joue;Nine♦;Travail;Travail;1;2
1;1035191123;493;Bot2;Joue;Prêtre♣;Travail;Travail;2;3
1;1035191123;494;Bot1;Joue;Eight♥;Travail;Travail;3;4
1;1035191123;495;Bot2;Joue;Ten♠;Travail;Travail;4;5
1;1035191123;496;Bot1;Joue;Roi♣;Travail;Travail;5;6
1;1035191123;497;Bot2;Joue;Roi♠;Travail;Travail;6;7
1;1035191123;499;Bot2;Joue;Ten♣;Travail;Travail;0;1
1;1035191123;500;Bot1;Joue;Dame♦;Travail;Travail;1;2
1;1035191123;502;Bot1;Joue;Roi♣;Travail;Travail;0;1
1;1035191123;504;Bot1;Joue;Six♠;Travail;Travail;0;1
1;1035191123;505;Bot2;Joue;Dame♦;Travail;Travail;1;2
1;1035191123;506;Bot1;Joue;Dame♠;Travail;Travail;2;3
1;1035191123;507;Bot2;Joue;Roi♣;Travail;Travail;3;4
1;1035191123;508;Bot1;Joue;Roi♠;Travail;Travail;4;5
1;1035191123;510;Bot1;Joue;Ten♠;Travail;Travail;0;1
1;1035191123;511;Bot2;Joue;Dame♠;Travail;Travail;1;2
1;1035191123;513;Bot2;Joue;Dame♦;Travail;Travail;0;1
